,Q11_r1,Q11_r2,Q11_r3,Q11_r4,Q11_r5,Q11_r6,Q11_r7,Q11_r8,Q11_r9,Q11_r10,Q11_r11,Q11_r12
Q10_r17,0.007299382,-0.034784267,0.008206483,-0.012128914,-0.036618611,0.016175704,0.039161041,-0.009685984,-0.03769615,-0.020217266,-0.008489205,0.053529611
Q16_r3,0.006393792,-0.011865392,-0.024864948,0.038198662,-0.060383888,0.031460653,-0.088261621,-0.049075158,0.11959671,0.021157942,0.024923664,-0.030026105
S5_r4,0.006291668,0.015391269,0.025485766,0.016687918,-0.052701324,0.023017425,-0.058325793,0.0186456,0.060339123,0.002334392,0.003653983,-0.023439474
Q15_r2,0.006283496,-0.030811247,-0.065226541,0.077226631,0.065900605,0.040411469,-0.042111107,-0.061435491,-0.071150227,0.023948521,-0.005073505,0.023892984
Q19_r5,0.006267754,-0.016082083,-0.008137526,-0.000441864,-0.019731607,0.041377132,0.029443086,-0.019309019,-0.020240567,0.009065062,0.013435886,-0.015531477
Q13_r5,0.005931284,0.003660025,-0.02376778,0.019237131,0.010917366,0.024605787,0.001847248,-0.022833165,-0.022791908,0.028089608,-0.010871265,-0.016638123
Q2_C3_r4,0.005847886,0.052072098,0.046303025,-0.001769089,0.000771316,-0.042367898,-0.029547252,-0.014881528,0.099564776,-0.008248535,0.013244582,-0.073773686
Q10_r5,0.005804225,0.000549605,0.021950341,0.003434793,0.014903821,-0.017368165,0.016719168,-0.007672698,-0.044374637,-0.009343138,0.010800985,0.031317958
Q22_r19,0.005432605,0.058674222,0.000930808,0.032765805,-0.029004718,-0.027390271,-0.046787561,-0.009190534,0.109225194,0.043530139,-0.001385152,-0.101151835
Q13_r19,0.005432605,-0.008340998,0.018250698,-0.008760215,0.068773482,-0.100420294,0.095701108,-0.016677745,-0.065966572,-0.029831731,-0.001385152,0.015118739
Q2_C1_r7,0.004837951,0.008153517,0.029014924,0.044501002,-0.046341845,-0.001377894,-0.055041779,0.004679582,0.094830235,0.009900026,0.018174829,-0.085330712
Q12_r11,0.003072459,0.001706013,-0.005992265,-0.020066082,0.035443488,-0.003606033,0.04950201,-0.037514203,-0.035076652,-0.00049508,0.008325885,0.001067135
Q10_r22,0.003023204,-0.011419935,-0.009349886,-0.028803784,0.003335929,0.031632717,-0.009928409,-0.00360872,-0.002651688,0.015034808,0.014647973,0.013753677
Region_r3,0.003011332,-0.00744731,-0.027634228,-0.006813891,0.021015038,0.006631958,0.033840005,-0.089319723,0.005746666,0.002490213,0.003382872,0.001998619
Q18_r18,0.001958546,-0.010218838,0.028051933,0.002191264,0.013227127,-0.030023905,-0.041716188,0.004915367,0.048378354,0.046763359,0.031344732,-0.048518407
Q16_r6,0.00125053,-0.020355053,0.001829167,-0.096656479,0.076125376,-0.028241134,0.077235504,0.011148018,-0.052766769,0.023584513,-0.029418646,0.012444214
S5_r2,0.001162921,-0.02617419,-0.003999381,0.013473917,0.042549593,-0.012850522,0.011470964,-0.020432027,-0.003449665,0.007548658,0.0165998,-0.041487896
Q2_C3_r8,0.000596079,-0.010005538,-0.038388137,-0.042392906,-0.000348736,0.027332184,-0.024142651,0.029608845,-0.039401764,-0.013285061,-0.022237975,0.113495522
Q25_r1,-8.49E-05,-0.022502049,0.019428713,0.056602437,-0.052130386,0.038778053,-0.072138054,-0.002482681,0.057927481,0.017067427,0.012664104,-0.045024192
Q10_r14,-0.000163236,-0.017483559,0.014726397,-0.056197072,0.015080882,-0.002829465,-0.015585528,0.037501173,0.053101144,0.024175185,-0.014771423,-0.042608841
Q21_r4,-0.000544811,0.021571807,0.03508641,0.007261077,-0.029867438,0.041826714,-0.08481312,0.014589076,0.042510124,0.032699149,0.029144572,-0.015657328
Q9_r3,-0.000577915,-0.006592216,-0.005298886,0.080003464,-0.138289357,0.22899734,-0.225610705,0.004447687,0.061843875,0.062366604,-0.012866616,0.0195247
Q16_r9,-0.000635958,-0.007553185,-0.022309701,-0.014355472,-0.032058175,0.028403485,-0.025013111,-0.005390214,0.010475098,-0.01047452,-0.006381498,0.061159914
QDevice_r2,-0.001165951,0.003058895,-0.006573533,0.042627348,0.032757217,0.036059423,-0.060595651,0.04207664,-0.01562122,0.005410148,-0.027697838,-0.035543824
Q12_r16,-0.001563016,-0.024677787,-0.016548707,-0.072630429,0.042518899,0.045141532,0.046745991,0.01361078,-0.092674616,-0.025458761,-0.011529533,0.083354216
Q22_r20,-0.001828563,0.047342352,0.020641438,0.068626463,-0.035245599,-0.028040975,-0.066335572,0.000679089,0.141362302,-0.012667302,0.001717315,-0.127817746
S5_r7,-0.002566504,-0.007967075,-0.023532199,0.009055158,-0.002413629,-0.016376633,0.003756804,-0.018339171,-0.028100724,-0.023688278,-0.006731183,0.077269363
Q2_C1_r3,-0.002765424,0.010985635,0.013673094,0.034052803,-0.000255144,-0.052574665,-0.008033215,-0.010429363,0.081947096,0.042139058,0.062009234,-0.12299183
Q18_r2,-0.003072529,0.024229807,-0.012546864,0.065460649,-0.025729952,-0.019163627,-0.007805054,-0.049401562,0.01165317,0.040155949,0.017668044,-0.027064009
